ID,Name,Title,Place publication,Publisher,Date of publication
125063132379118548489267753476840361662,"Orwell, George",England your England,London,Penguin,2017
125063132379118548489267753476840361662,"Orwell, George",England your England,London,Penguin,2017
167511173749005143468612681391542080426,"Orwell, George",The road to Wigan Pier,London,Penguin,2014
67872006728300045677738961520518396750,"Orwell, George",The road to Wigan Pier,London,Harvill Secker,2018
118439771879165299193551765587213619743,"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
118439771879165299193551765587213619743,"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
26468277388623499778146091821813228170,"Orwell, George",The road to Wigan Pier,Oxford,Oxford University Press,2021
116667512048230439388648722104686787726,"Orwell, George",The road to Wigan Pier,London,Arcturus,2021
118439771879165299193551765587213619743,"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
147477047947525012172311925307928357873,"Orwell, George",The road to Wigan Pier,London,Macmillan,2021
140193049888281960817805737215151000669,"Orwell, George",The road to Wigan Pier,London,Arcturus Digital,2021
167511173749005143468612681391542080426,"Orwell, George",The road to Wigan Pier,London,Penguin,2014
16433270522290360152678537868595198553,"Orwell, George","Orwell and politics : Animal Farm in the context of essays, reviews and letters selected from The complete works of George Orwell",London,Penguin,2020
164619479117874243481172860323525329480,"Orwell, George",Fascism and democracy,London,Penguin,2020
164619479117874243481172860323525329480,"Orwell, George",Fascism and democracy,London,Penguin,2020
85697251696233905879063050053625396118,"Orwell, George",Notes on nationalism,London,Penguin,2018
22228124933247941766495704484496328421,"Orwell, George",Orwell on freedom,London,Harvill Secker,2018
81910233186618000625761135738892114003,"Orwell, George",Orwell on freedom,London,Vintage Digital,2018
69349788464157408563665466715227106846,"Orwell, George",The lion and the unicorn,London,Penguin,2018
142430085919195265326301384181884339681,"Orwell, George",The lion and the unicorn : socialism and the English genius,London,Penguin,2018
25081195860750834785407615145194259852,"Armstrong, Stephen",The road to Wigan Pier revisited,London,Constable,2012
55995037524308116881349331850061567543,"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2020
33198631157093246701192416703776370288,"Orwell, George",Down and out in Paris and London,London,Harper,2021
33198631157093246701192416703776370288,"Orwell, George",Down and out in Paris and London,London,Harper,2021
138605064774321124841376026502309462383,"Orwell, George",Down and out in Paris and London,Oxford,Oxford University Press,2021
71258339253293153167122187803903723201,"Orwell, George",Down and out in Paris and London,London,Arcturus,2021
43676550747509233122550748587069458706,"Orwell, George",Down and out in Paris and London,London,Vintage Classics,2021
33198631157093246701192416703776370288,"Orwell, George",Down and out in Paris and London,London,Harper,2021
35405317354761752002905431634761820636,"Orwell, George",Down and out in Paris and London,London,Macmillan,2021
131731454722210408742552675711698731921,"Orwell, George",Politics and the English language,London,Renard Press,2021
